yyyy,PerNo,PerStatus,sex,工作分類,職等,廠區代碼,管理層級,工作資歷1,工作資歷2,工作資歷3,工作資歷4,工作資歷5,專案時數,專案總數,當前專案角色,特殊專案佔比,工作地點,訓練時數A,訓練時數B,訓練時數C,生產總額,榮譽數,是否升遷,升遷速度,近三月請假數A,近一年請假數A,近三月請假數B,近一年請假數B,出差數A,出差數B,出差集中度,年度績效等級A,年度績效等級B,年度績效等級C,年齡層級,婚姻狀況,年資層級A,年資層級B,年資層級C,任職前工作平均年數,最高學歷,畢業學校類別,畢業科系類別,眷屬量,通勤成本,歸屬部門
2015,24,0,1,1,3,8,1,0,0,0,0,0,21,1,5,1,6,0,0,1,10,1,0,2,1,10,0,0,1,0,2,7,1,4,11,1,6,6,0,0,2,4,8,2,8,8038
2016,24,0,1,1,3,8,1,0,0,0,0,0,19,1,5,0,6,0,0,1,6,1,0,2,2,8,0,0,1,0,0,7,1,4,11,1,6,6,0,0,2,4,8,2,8,8038
2017,24,0,1,1,3,8,1,0,0,0,0,0,21,1,5,0,6,0,0,2,4,2,0,3,1,10,0,0,1,0,0,7,1,5,11,1,6,6,0,0,2,4,8,2,8,8038
2014,26,0,1,1,4,13,1,0,0,0,0,0,24,3,5,1,6,0,0,1,13,1,0,2,2,5,0,0,2,0,1,1,1,2,6,1,3,1,3,2,2,5,5,1,9,13151
2015,26,0,1,1,4,13,1,0,0,0,0,0,23,3,1,0,6,0,0,1,25,1,0,2,4,6,0,0,1,1,1,1,9,4,6,1,3,1,3,2,2,5,5,1,9,13151
2016,26,0,1,1,4,13,6,0,0,0,0,0,23,4,5,4,6,0,0,3,31,1,0,2,5,4,0,0,2,1,2,1,1,4,7,1,3,2,3,2,2,5,5,1,9,13151
2017,26,0,1,1,3,13,6,0,0,0,0,0,23,3,1,2,6,0,0,2,25,2,1,1,2,7,0,0,3,0,2,2,1,5,7,1,3,2,3,2,2,5,5,2,9,13151
2014,27,0,1,1,4,14,1,0,0,0,0,0,22,2,5,1,6,0,0,1,21,1,0,5,3,9,0,0,1,0,1,1,6,2,13,1,7,7,1,1,3,3,3,1,8,14040
2014,28,1,1,1,4,6,1,0,0,0,0,0,23,1,5,0,6,0,0,1,5,0,0,1,0,7,1,2,1,0,0,1,4,2,4,2,2,1,2,0,2,1,5,0,8,6167
2014,31,0,1,1,7,6,1,0,0,0,0,1,23,2,5,0,6,0,0,2,2,0,0,1,4,6,0,0,0,0,0,5,10,5,2,1,1,1,0,0,2,,5,0,8,6024
2015,31,0,1,1,4,20,1,0,0,0,0,1,23,3,5,0,6,0,2,3,2,0,1,1,4,6,0,0,1,1,0,10,9,5,3,1,1,1,0,0,2,,5,1,8,20184
2016,31,0,1,1,4,20,1,0,0,0,0,1,23,2,5,1,6,0,0,2,8,1,0,1,3,7,0,0,1,0,0,10,1,4,3,1,1,1,0,0,2,,5,1,8,20184
2017,31,0,1,1,4,20,4,0,0,0,0,1,22,3,5,1,6,0,0,3,10,1,0,1,2,8,0,0,1,0,1,1,1,4,3,1,2,2,0,0,2,,5,1,8,20184
2014,35,0,1,1,3,8,2,0,0,0,0,1,23,5,5,2,6,0,2,2,4,0,0,2,4,6,0,0,3,1,1,6,1,5,10,1,5,5,0,0,,,3,2,7,8126
2015,35,0,1,1,3,8,2,0,0,0,0,1,23,4,1,2,6,0,3,1,4,0,0,2,5,6,0,0,3,1,2,7,1,5,10,1,6,6,0,0,,,3,2,7,8126
2016,35,0,1,1,2,8,3,0,0,0,0,1,23,5,1,1,6,0,2,1,6,0,1,1,5,6,0,0,3,1,2,7,1,4,10,1,6,6,0,0,,,3,2,7,8126
2017,35,0,1,1,2,8,3,0,0,0,0,1,23,4,1,0,6,0,2,3,5,1,0,1,4,6,0,0,4,1,6,4,1,4,11,1,6,6,0,0,,,3,2,7,8126
2014,39,0,1,1,4,20,1,0,0,0,0,0,23,1,5,0,6,0,0,5,1,0,0,7,2,6,0,0,2,0,4,4,3,2,12,1,7,6,1,1,2,4,5,3,8,20062
2015,39,0,1,1,4,20,1,0,0,0,0,0,23,2,5,0,6,0,0,2,0,0,0,8,2,6,0,0,3,0,2,4,6,2,12,1,7,7,1,1,2,4,5,3,8,20082
2016,39,0,1,1,4,20,1,0,0,0,0,0,22,1,5,0,6,0,0,3,0,0,0,8,2,7,0,0,1,0,0,4,6,2,12,1,7,7,1,1,2,4,5,2,8,20082
2017,39,0,1,1,4,20,1,0,0,0,0,0,17,1,5,0,6,0,0,2,0,0,0,8,2,5,0,0,1,0,0,4,6,2,13,1,7,7,1,1,2,4,5,2,8,20082
2014,40,0,1,1,4,8,1,0,0,0,0,0,22,2,1,0,5,0,1,1,4,0,0,2,4,8,0,0,2,1,2,1,1,4,6,1,2,2,1,1,,4,8,1,8,8145
2015,40,0,1,1,4,8,6,0,0,0,0,0,22,2,5,1,5,1,1,3,6,0,0,2,1,6,0,0,2,1,2,2,1,5,6,1,2,2,1,1,,4,8,2,8,8145
2016,40,0,1,1,4,8,6,0,0,0,0,0,22,5,5,3,5,0,1,1,6,0,0,3,4,8,0,0,2,2,1,2,1,5,6,1,2,2,1,1,,4,8,2,8,8145
2017,40,0,1,1,4,8,6,0,0,0,0,0,22,4,5,1,5,0,0,1,7,1,0,3,3,8,0,0,2,1,1,2,1,5,7,1,3,2,1,1,,4,8,2,8,8145
2015,42,0,1,1,4,14,1,0,0,0,0,1,23,1,5,0,2,2,0,1,19,0,0,1,5,8,0,0,1,0,2,1,7,5,4,1,1,1,0,0,,4,8,0,8,14053
2016,42,0,1,1,4,14,1,0,0,0,0,1,22,1,1,0,2,0,0,4,13,0,0,2,3,6,0,0,1,0,2,1,10,5,4,1,1,1,0,0,,4,8,0,8,14053
2017,42,0,1,1,4,14,1,0,0,0,0,1,22,1,1,0,8,0,2,4,11,0,0,2,5,9,0,0,1,1,3,1,9,5,5,1,2,2,0,0,,4,8,0,8,14160
2014,44,0,1,1,7,13,1,0,0,0,0,0,23,1,5,15,6,0,0,1,0,0,0,1,4,7,0,0,0,0,0,10,9,4,12,1,7,7,0,1,1,3,4,2,8,13147
2015,44,0,1,1,7,13,1,0,0,0,0,0,22,1,5,15,6,0,0,1,0,0,0,2,5,6,0,0,0,0,0,1,1,4,12,1,8,8,0,1,1,3,4,2,8,13147
2016,44,0,1,1,7,13,1,0,0,0,0,0,23,1,5,15,6,0,0,1,0,0,0,2,6,6,0,0,0,0,0,1,1,4,13,1,8,8,0,1,1,3,4,1,8,13147
2014,45,0,1,1,4,14,1,0,0,0,0,1,23,2,1,2,6,0,0,1,7,0,0,2,4,6,0,0,4,0,3,10,8,4,5,2,3,3,0,0,2,4,7,0,8,14077
2015,45,0,1,1,4,14,1,0,0,0,0,1,23,1,5,2,6,0,0,1,7,0,0,2,3,6,0,0,4,0,5,10,1,5,5,2,3,3,0,0,2,4,7,1,8,14077
2016,45,0,1,1,4,14,1,0,0,0,0,1,22,1,1,0,6,0,0,1,5,0,0,3,3,6,0,0,4,0,14,10,1,5,6,2,3,3,0,0,2,4,7,0,8,14077
2017,45,0,1,1,4,14,1,0,0,0,0,1,23,1,1,1,6,0,0,1,4,0,0,3,2,6,0,0,4,0,7,10,10,2,6,2,3,3,0,0,2,4,7,0,8,14077
2017,51,0,1,1,4,10,1,0,0,0,0,0,23,2,5,0,6,0,0,5,5,2,0,1,2,7,0,0,1,0,0,10,8,5,5,1,2,1,2,1,2,,6,1,8,10008
2014,54,1,1,1,4,8,1,0,0,0,0,1,23,1,1,0,5,0,0,1,3,0,0,1,3,7,0,0,1,0,0,10,10,2,5,1,1,1,0,0,,4,8,1,8,8145
2014,55,0,1,1,3,16,2,0,0,0,0,0,22,2,5,1,5,0,1,1,1,1,0,2,4,8,0,0,1,1,1,7,1,4,11,1,5,5,0,0,,3,1,1,9,16070
2015,55,0,1,1,3,16,2,0,0,0,0,0,17,4,5,0,5,0,0,1,1,0,0,2,2,7,0,0,1,0,1,7,1,4,11,1,6,6,0,0,,3,1,1,9,16121
2016,55,0,1,1,3,16,3,0,0,0,0,0,11,2,5,0,5,0,0,5,1,0,0,2,3,4,0,0,1,0,0,7,1,4,11,1,6,6,0,0,,3,1,1,9,16121
2017,55,0,1,1,3,16,3,0,0,0,0,0,16,2,1,0,5,0,0,2,0,0,0,2,2,8,0,0,1,0,1,4,1,4,12,1,6,6,0,0,,3,1,1,9,16121
2014,56,0,0,2,4,2,1,0,0,0,0,0,16,2,3,0,6,0,0,1,1,0,0,3,6,10,0,0,1,0,0,10,2,2,8,1,5,4,2,1,3,3,9,0,8,2180
2015,56,0,0,2,4,2,1,0,0,0,0,0,22,1,3,0,6,0,0,1,1,0,0,4,4,10,0,0,1,0,0,10,7,2,9,1,5,4,2,1,3,3,9,0,8,2180
2016,56,0,0,2,4,2,1,0,0,0,0,0,22,1,3,0,6,0,0,1,0,0,0,4,6,8,0,0,1,0,0,10,7,2,9,1,5,4,2,1,3,3,9,0,8,2180
2017,56,0,0,2,4,2,1,0,0,0,0,0,22,1,3,0,6,0,0,1,0,0,0,4,4,10,0,0,1,0,1,10,6,2,9,1,6,5,2,1,3,3,9,0,8,2180
2014,57,0,1,1,2,16,4,0,0,0,0,0,23,2,5,5,5,6,0,3,27,1,0,3,6,6,0,0,1,0,1,7,3,2,11,1,4,2,4,1,,4,1,2,8,16001
2015,57,0,1,1,2,16,4,0,0,0,0,0,23,2,5,1,5,2,0,1,33,1,0,4,4,6,0,0,1,1,1,4,6,2,11,1,4,3,4,1,,4,1,2,8,16001
2016,57,0,1,1,2,16,4,0,0,0,0,0,23,2,5,2,5,1,0,2,33,1,0,4,5,6,0,0,1,0,3,4,6,2,11,1,5,3,4,1,,4,1,2,8,16001
2017,57,0,1,1,2,16,4,0,0,0,0,0,23,2,1,1,6,7,0,3,22,2,0,4,3,6,0,0,1,0,1,4,6,5,12,1,5,3,4,1,,4,1,2,8,16001
2014,58,0,0,2,4,18,4,1,0,0,1,0,6,1,5,0,6,0,0,1,0,0,0,6,0,11,0,0,0,0,0,2,6,2,11,1,6,6,1,1,2,4,9,0,8,18002
2015,58,0,0,2,4,18,4,1,0,0,1,0,12,2,5,0,6,0,0,2,0,0,0,6,4,5,0,0,1,0,0,2,3,5,11,1,6,6,1,1,2,4,9,0,8,18002
2014,59,0,1,1,7,13,1,0,0,1,0,0,23,1,1,0,1,0,0,3,13,0,0,3,4,6,0,0,2,0,9,5,1,5,5,1,2,2,0,0,2,,3,2,11,13065
2015,59,0,1,1,4,11,1,0,0,1,0,0,22,1,1,1,1,0,0,3,17,1,1,1,3,6,0,0,2,1,4,10,1,4,5,1,2,2,0,0,2,,3,2,11,11182
2016,59,0,1,1,4,11,1,0,0,1,0,0,22,1,1,1,1,2,0,2,13,2,0,1,6,6,0,0,3,0,6,10,1,5,6,1,2,2,0,0,2,,3,3,11,11182
2017,59,0,1,1,4,11,1,0,0,1,0,0,22,2,1,1,1,1,0,2,10,2,0,1,4,11,0,0,3,0,4,10,1,4,6,1,3,3,0,0,2,,3,3,11,11182
2014,61,0,1,1,7,8,1,0,0,0,0,0,23,2,5,1,5,1,0,3,2,0,0,5,5,6,0,0,1,0,1,1,4,2,12,1,7,6,3,1,3,3,8,1,9,8139
2015,61,0,1,1,7,8,1,0,0,0,0,0,23,2,5,1,5,0,0,2,3,0,0,6,3,6,0,0,1,0,0,1,7,2,13,1,7,6,3,1,3,3,8,1,9,8028
2014,62,0,1,1,4,8,1,0,0,0,0,0,23,1,1,5,6,1,0,1,10,0,0,2,1,6,0,0,1,0,2,1,7,4,6,2,2,1,2,1,,,8,1,8,8157
2015,62,0,1,1,4,8,1,0,0,0,0,0,23,1,1,2,6,0,0,1,7,0,0,2,4,6,0,0,1,0,2,1,10,4,7,2,2,2,2,1,,,8,1,8,8157
2016,62,0,1,1,4,8,1,0,0,0,0,0,23,2,1,0,6,0,0,2,9,0,0,2,4,6,0,0,1,0,2,2,10,2,7,2,3,2,2,1,,,8,1,8,8157
2017,62,0,1,1,4,8,1,0,0,0,0,0,22,1,1,1,6,4,0,1,7,0,0,3,4,7,0,0,3,0,3,2,4,2,7,2,3,2,2,1,,,8,1,8,8157
2014,65,0,1,1,3,8,1,0,0,0,0,0,23,2,1,1,5,3,0,10,12,0,1,1,3,7,0,0,2,0,1,2,1,4,7,1,2,2,0,0,,,8,1,8,8194
2015,65,0,1,1,3,8,1,0,0,0,0,0,23,2,1,3,5,1,0,1,13,0,0,1,2,6,0,0,2,0,2,6,1,5,7,1,3,3,0,0,,,8,1,8,8194
2016,65,0,1,1,3,8,6,0,0,0,0,0,23,4,5,5,5,1,0,3,13,0,0,1,3,6,0,0,2,0,1,6,4,5,8,1,3,3,0,0,,,8,2,8,8194
2017,65,0,1,1,3,8,6,0,0,0,0,0,23,3,5,4,5,1,2,1,9,0,0,2,2,6,0,0,2,1,1,6,8,5,8,1,3,3,0,0,,,8,2,8,8194
2014,68,0,1,1,4,17,1,1,0,0,0,0,21,2,5,2,6,2,0,1,1,0,0,1,3,8,0,0,2,0,3,1,3,2,7,1,3,1,4,1,2,3,9,0,9,17112
2015,68,0,1,1,4,17,1,1,0,0,0,0,23,3,5,5,6,0,0,1,4,0,0,2,2,6,0,0,2,1,2,1,10,2,8,1,4,1,4,1,2,3,9,1,9,17112
2016,68,0,1,1,4,17,1,1,0,0,0,0,23,2,5,7,6,0,0,2,4,0,0,2,4,7,0,0,3,1,2,1,8,5,8,1,4,1,4,1,2,3,9,1,9,17112
2017,68,0,1,1,4,17,1,0,0,0,0,0,22,3,5,0,6,0,0,1,3,0,0,2,5,8,0,0,2,1,2,1,1,5,8,1,4,2,4,1,2,3,9,0,9,17112
2014,69,0,1,1,3,14,4,0,0,0,0,0,23,1,1,0,6,0,0,0,6,1,0,2,4,6,0,0,3,0,5,7,5,5,11,1,6,6,0,0,2,3,8,1,8,14053
2015,69,0,1,1,3,14,4,0,0,0,0,0,23,1,1,0,6,0,0,1,7,0,0,2,3,6,0,0,3,0,9,7,4,5,12,1,6,6,0,0,2,3,8,1,8,14053
2016,69,0,1,1,3,14,4,0,0,0,0,0,23,2,5,1,6,0,0,1,4,0,0,2,5,7,0,0,3,0,2,4,1,5,12,1,6,6,0,0,2,3,8,1,8,14053
2017,69,0,1,1,3,14,4,0,0,0,0,0,23,2,5,0,6,0,0,2,2,0,0,3,3,6,0,0,2,0,2,4,8,2,12,1,7,7,0,0,2,3,8,1,8,14053
2014,70,0,1,1,4,14,1,0,0,0,0,0,23,2,5,4,6,0,0,2,5,0,0,6,6,6,0,0,3,0,2,1,5,2,13,1,7,7,1,2,3,3,6,1,8,14067
2014,71,0,1,1,7,4,1,0,0,0,0,0,23,1,5,0,6,0,0,1,3,0,0,1,4,7,0,0,2,1,7,5,9,2,4,1,2,1,1,0,2,3,3,0,8,4045
2015,71,0,1,1,4,4,1,0,0,0,0,0,23,2,1,2,6,0,0,1,2,0,1,1,4,7,0,0,3,0,2,10,4,2,4,1,2,1,1,0,2,3,3,1,8,4045
2016,71,0,1,1,4,4,1,0,0,0,0,0,23,2,1,0,6,0,0,1,2,1,0,1,3,6,0,0,3,0,5,10,1,2,4,1,2,2,1,0,2,3,3,1,8,4045
2017,71,0,1,1,4,4,1,0,0,0,0,0,22,3,1,3,6,0,0,1,2,2,0,1,5,6,0,0,1,1,1,10,10,5,5,1,2,2,1,0,2,3,3,2,8,4045
2014,72,0,1,1,4,14,1,0,0,0,0,1,23,1,5,0,6,1,0,1,13,1,0,3,0,6,0,0,1,0,0,1,2,2,5,1,2,2,0,0,,4,6,0,6,14067
2015,72,0,1,1,4,14,1,0,0,0,0,1,23,2,5,1,6,1,0,1,9,0,0,3,4,6,0,0,1,0,1,1,7,2,5,1,2,2,0,0,,4,6,0,8,14067
2016,72,0,1,1,4,14,1,0,0,0,0,1,23,1,5,0,6,0,0,1,4,0,0,3,2,6,0,0,1,0,3,1,7,2,6,1,2,2,0,0,,4,6,0,8,14067
2017,72,0,1,1,4,14,1,0,0,0,0,1,22,1,5,1,6,0,0,3,4,0,0,4,4,7,0,0,1,0,2,1,7,2,6,1,3,3,0,0,,4,6,1,8,14067
2015,73,0,1,1,4,14,1,0,0,0,0,1,23,2,5,0,6,0,2,1,8,0,0,1,0,8,1,1,3,1,3,10,2,5,5,1,1,1,0,1,,,6,2,9,14105
2016,73,0,1,1,4,14,4,0,0,0,0,1,22,1,1,0,6,0,0,2,11,0,0,1,1,7,1,1,3,0,6,10,9,5,5,1,1,1,0,1,,,6,2,9,14105
2017,73,0,1,1,4,14,1,0,0,0,0,1,21,1,5,0,6,4,0,1,9,0,0,2,3,9,0,0,2,10,3,1,1,5,5,1,1,1,0,1,,,6,3,9,14105
2014,78,0,1,1,4,8,1,0,0,0,0,0,22,2,1,1,5,0,0,1,6,0,0,2,6,10,0,0,1,0,2,10,2,3,6,2,3,3,0,0,2,,8,0,8,8162
2015,78,0,1,1,4,16,1,0,0,0,0,0,21,7,5,4,5,0,0,1,5,0,0,2,3,11,0,0,2,0,1,10,3,2,6,2,3,3,0,0,2,,8,0,8,16086
2016,78,0,1,1,4,16,1,0,0,0,0,0,22,2,1,11,5,2,0,3,2,0,0,2,4,6,0,0,2,0,2,10,7,2,7,1,3,3,0,0,2,,8,0,8,16086
2017,78,0,1,1,4,16,1,0,0,0,0,0,22,7,1,8,5,0,0,3,1,0,0,2,2,8,0,0,3,0,1,10,8,2,7,1,4,4,0,0,2,,8,0,8,16086
2014,80,0,1,1,7,8,1,0,0,0,0,0,23,1,5,0,6,0,0,1,1,0,0,2,2,7,0,0,4,0,5,10,7,2,7,1,4,2,4,1,2,3,3,1,8,8038
2015,80,0,1,1,7,8,1,0,0,0,0,0,22,2,5,1,6,0,2,1,1,0,0,2,3,8,0,0,2,1,2,10,7,2,8,1,4,2,4,1,2,3,3,1,8,8038
2016,80,0,1,1,7,8,1,0,0,0,0,0,22,2,5,9,6,0,0,2,4,0,0,3,3,7,0,0,2,0,3,10,8,2,8,1,4,2,4,1,2,3,3,1,8,8038
2017,80,0,1,1,7,8,1,0,0,0,0,0,22,2,5,1,6,0,2,2,5,0,0,3,5,8,0,0,2,1,3,10,5,2,8,1,4,2,4,1,2,3,3,1,8,8038
2014,85,0,1,1,4,13,1,0,0,0,0,1,23,2,5,0,6,0,0,14,22,2,0,3,1,6,0,0,2,0,1,1,1,4,6,1,2,2,0,0,,4,3,2,8,13168
2015,85,0,1,1,4,13,1,0,0,0,0,1,23,2,1,0,6,0,8,2,23,3,0,3,1,6,0,0,1,4,1,1,1,5,6,1,2,2,0,0,,4,3,2,8,13084
2016,85,0,1,1,3,13,5,0,0,0,0,1,23,2,1,0,6,0,15,4,19,2,1,1,3,6,0,0,1,4,1,2,1,5,6,1,2,2,0,0,,4,3,3,8,13084
2017,85,0,1,1,3,13,5,0,0,0,0,1,23,2,1,0,6,0,0,1,11,2,0,1,2,6,0,0,2,1,2,2,1,5,7,1,2,2,0,0,,4,3,3,8,13084
2014,87,0,0,1,2,17,4,0,0,0,0,0,23,5,5,5,6,2,0,6,5,0,1,1,2,7,0,0,2,0,1,7,1,5,11,2,6,3,6,3,2,4,5,1,8,17144
2015,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
