yyyy,periodQ,PerNo,加班數,出差數A,出差數B,請假數A,請假數B
2014,2014Q1,372,0,0,0,0,0
2014,2014Q1,373,0,0,0,4,0
2014,2014Q1,375,7,2,0,1,0
2014,2014Q1,377,0,1,0,2,0
2014,2014Q1,378,0,0,2,1,0
2014,2014Q1,380,0,1,0,3,0
2014,2014Q1,382,4,3,0,1,0
2014,2014Q1,384,2,0,0,3,0
2014,2014Q1,385,0,1,1,1,0
2014,2014Q1,386,0,0,0,3,0
2014,2014Q1,389,0,1,0,2,0
2014,2014Q1,390,0,0,0,4,0
2014,2014Q1,392,0,2,0,1,0
2014,2014Q1,402,0,1,0,5,0
2014,2014Q1,408,0,1,0,3,0
2014,2014Q1,409,0,1,0,2,0
2014,2014Q1,410,0,1,0,0,0
2014,2014Q1,412,0,3,0,0,0
2014,2014Q1,413,2,3,0,0,0
2014,2014Q1,414,0,0,0,2,0
2014,2014Q1,420,0,0,0,1,0
2014,2014Q1,421,0,0,0,4,0
2014,2014Q1,424,0,0,0,5,0
2014,2014Q1,425,1,2,0,1,0
2014,2014Q1,426,1,1,0,3,0
2014,2014Q1,428,10,0,0,2,0
2014,2014Q1,429,0,3,0,2,0
2014,2014Q1,430,0,1,0,4,0
2014,2014Q1,431,0,1,0,5,0
2014,2014Q1,435,1,3,0,5,0
2014,2014Q1,436,0,0,0,1,0
2014,2014Q1,438,2,3,0,1,0
2014,2014Q1,439,0,0,0,2,0
2014,2014Q1,442,0,2,0,2,0
2014,2014Q1,448,0,1,0,1,0
2014,2014Q1,454,2,2,0,2,0
2014,2014Q1,455,1,0,0,4,0
2014,2014Q1,456,0,1,0,4,0
2014,2014Q1,458,0,1,0,2,0
2014,2014Q1,462,0,1,0,4,0
2014,2014Q1,463,0,0,0,0,0
2014,2014Q1,465,0,0,0,2,0
2014,2014Q1,468,0,0,0,2,0
2014,2014Q1,469,0,0,0,4,0
2014,2014Q1,470,1,0,0,3,0
2014,2014Q1,471,3,1,0,3,0
2014,2014Q1,473,0,1,0,0,0
2014,2014Q1,475,0,0,0,3,0
2014,2014Q1,476,4,0,0,0,0
2014,2014Q1,477,0,0,0,0,0
2014,2014Q1,479,0,2,0,4,0
2014,2014Q1,484,0,1,0,3,0
2014,2014Q1,486,0,0,0,1,0
2014,2014Q1,488,0,0,0,1,0
2014,2014Q1,489,0,0,0,2,0
2014,2014Q1,494,1,2,0,1,0
2014,2014Q1,496,0,1,0,5,0
2014,2014Q1,497,0,1,0,2,0
2014,2014Q1,498,0,0,0,2,0
2014,2014Q1,499,10,1,0,1,0
2014,2014Q1,503,0,0,0,2,0
2014,2014Q1,505,0,0,0,1,0
2014,2014Q1,508,1,1,0,2,0
2014,2014Q1,510,0,1,0,4,0
2014,2014Q1,512,0,1,0,1,0
2014,2014Q1,515,0,1,0,1,0
2014,2014Q1,520,3,2,0,0,0
2014,2014Q1,522,0,1,0,3,0
2014,2014Q1,523,0,0,0,1,0
2014,2014Q1,525,0,2,0,1,0
2014,2014Q1,528,0,0,0,0,0
2014,2014Q1,530,0,1,1,2,0
2014,2014Q1,535,10,0,0,5,0
2014,2014Q1,540,0,0,0,0,0
2014,2014Q1,541,1,2,0,3,0
2014,2014Q1,543,0,0,0,2,0
2014,2014Q1,545,2,4,0,4,0
2014,2014Q1,554,1,3,0,2,0
2014,2014Q1,555,2,0,0,2,0
2014,2014Q1,557,1,0,0,4,0
2014,2014Q1,559,0,1,0,2,0
2014,2014Q1,561,0,1,0,1,0
2014,2014Q1,569,0,1,0,2,0
2014,2014Q1,574,0,4,0,3,0
2014,2014Q1,583,0,1,0,4,0
2014,2014Q1,584,0,2,0,4,0
2014,2014Q1,586,0,1,0,1,0
2014,2014Q1,587,0,0,0,3,0
2014,2014Q1,588,14,3,0,2,0
2014,2014Q1,589,0,1,1,4,0
2014,2014Q1,591,0,1,0,2,0
2014,2014Q1,597,0,2,0,2,0
2014,2014Q1,598,0,0,0,2,0
2014,2014Q1,599,0,1,0,1,0
2014,2014Q1,603,0,2,1,1,0
2014,2014Q1,605,0,5,0,6,0
2014,2014Q1,617,0,0,0,4,0
2014,2014Q1,621,0,0,0,3,0
2014,2014Q1,623,3,0,1,0,0
2014,2014Q1,624,0,0,0,6,0
2014,2014Q1,627,0,3,0,3,0
2014,2014Q1,628,0,0,0,4,0
2014,2014Q1,629,0,2,0,3,0
2014,2014Q1,632,0,0,0,2,0
2014,2014Q1,633,2,1,0,3,0
2014,2014Q1,636,0,1,0,1,0
2014,2014Q1,637,0,1,0,1,0
2014,2014Q1,641,0,1,0,5,0
2014,2014Q1,643,0,1,0,2,0
2014,2014Q1,646,0,0,0,3,0
2014,2014Q1,649,1,1,0,0,0
2014,2014Q1,655,0,1,0,2,0
2014,2014Q1,656,0,1,0,1,0
2014,2014Q1,658,0,0,0,2,0
2014,2014Q1,662,1,1,2,2,0
2014,2014Q1,664,2,1,0,2,0
2014,2014Q1,667,1,0,0,1,0
2014,2014Q1,670,0,0,0,0,0
2014,2014Q1,672,0,2,0,1,0
2014,2014Q1,673,0,2,0,1,0
2014,2014Q1,675,0,3,0,1,0
2014,2014Q1,676,0,1,0,4,0
2014,2014Q1,677,0,0,0,4,0
2014,2014Q1,678,0,3,0,2,0
2014,2014Q1,679,0,0,0,1,0
2014,2014Q1,684,0,0,0,1,0
2014,2014Q1,686,0,1,0,4,0
2014,2014Q1,690,0,2,0,2,0
2014,2014Q1,694,0,0,0,2,0
2014,2014Q1,698,0,1,0,4,0
2014,2014Q1,699,0,3,0,3,0
2014,2014Q1,703,1,1,0,1,0
2014,2014Q1,707,0,1,0,3,0
2014,2014Q1,713,1,4,0,1,0
2014,2014Q1,714,0,1,0,5,0
2014,2014Q1,718,0,1,0,4,0
2014,2014Q1,723,0,2,0,3,0
2014,2014Q1,730,15,0,0,2,0
2014,2014Q1,732,0,1,0,1,0
2014,2014Q1,733,0,1,0,1,0
2014,2014Q1,735,0,1,0,2,0
2014,2014Q1,736,0,1,0,6,0
2014,2014Q1,737,0,1,0,5,0
2014,2014Q1,739,0,1,0,1,0
2014,2014Q1,740,0,1,0,1,0
2014,2014Q1,741,0,3,2,1,0
2014,2014Q1,743,0,0,0,1,0
2014,2014Q1,744,0,1,0,3,0
2014,2014Q1,748,0,1,0,2,0
2014,2014Q1,749,0,0,0,2,0
2014,2014Q1,750,0,2,0,2,0
2014,2014Q1,751,0,0,0,1,0
2014,2014Q1,754,0,1,0,2,0
2014,2014Q1,755,0,0,0,3,0
2014,2014Q1,756,0,0,0,3,0
2014,2014Q1,760,1,2,0,1,0
2014,2014Q1,762,0,1,0,2,0
2014,2014Q1,764,0,2,0,1,0
2014,2014Q1,765,0,0,0,2,0
2014,2014Q1,766,2,1,0,2,0
2014,2014Q1,769,0,3,0,2,0
2014,2014Q1,770,0,3,0,2,0
2014,2014Q1,771,0,1,0,2,0
2014,2014Q1,772,1,2,0,1,0
2014,2014Q1,773,0,1,0,2,0
2014,2014Q1,774,0,1,0,2,0
2014,2014Q1,779,0,1,1,4,0
2014,2014Q1,781,0,1,0,1,0
2014,2014Q1,782,0,1,0,3,0
2014,2014Q1,783,0,0,0,3,0
2014,2014Q1,784,0,0,0,3,0
2014,2014Q1,785,1,0,0,2,0
2014,2014Q1,790,0,0,0,4,0
2014,2014Q1,791,0,0,0,2,0
2014,2014Q1,792,0,1,0,2,4
2014,2014Q1,797,0,1,0,3,0
2014,2014Q1,798,4,3,0,2,0
2014,2014Q1,799,0,1,0,4,0
2014,2014Q1,802,0,5,1,1,0
2014,2014Q1,806,0,1,0,2,0
2014,2014Q1,807,0,1,2,2,0
2014,2014Q1,808,0,0,0,0,0
2014,2014Q1,811,0,1,0,3,0
2014,2014Q1,812,0,1,0,4,0
2014,2014Q1,814,9,3,0,2,0
2014,2014Q1,817,0,1,0,1,0
2014,2014Q1,819,0,2,0,3,0
2014,2014Q1,821,0,2,0,5,0
2014,2014Q1,825,0,0,0,0,0
2014,2014Q1,827,0,2,0,2,0
2014,2014Q1,828,0,1,0,3,0
2014,2014Q1,829,2,1,0,2,0
2014,2014Q1,831,0,0,0,3,0
2014,2014Q1,834,0,1,0,5,0
2014,2014Q1,836,0,5,0,2,0
2014,2014Q1,839,0,0,0,2,0
2014,2014Q1,840,0,0,0,4,0
2014,2014Q1,841,0,4,0,5,1
2014,2014Q1,844,0,0,0,2,0
2014,2014Q1,845,0,1,0,1,0
2014,2014Q1,848,0,1,0,0,0
2014,2014Q1,849,0,1,0,3,0
2014,2014Q1,850,1,2,0,2,0
2014,2014Q1,854,0,3,0,1,0
2014,2014Q1,855,0,0,0,2,0
2014,2014Q1,856,0,1,0,2,0
2014,2014Q1,857,0,0,0,2,0
2014,2014Q1,861,0,0,0,13,0
2014,2014Q1,865,0,1,0,3,0
2014,2014Q1,866,0,0,0,3,0
2014,2014Q1,868,0,0,0,1,0
2014,2014Q1,871,0,1,0,1,2
2014,2014Q1,876,0,0,0,5,0
2014,2014Q1,877,0,0,0,4,0
2014,2014Q1,882,0,2,0,2,0
2014,2014Q1,883,0,0,0,1,0
2014,2014Q1,884,0,0,0,3,0
2014,2014Q1,886,0,1,0,0,0
2014,2014Q1,888,0,6,0,4,0
2014,2014Q1,890,0,0,0,2,0
2014,2014Q1,891,0,0,0,0,0
2014,2014Q1,892,0,0,0,3,0
2014,2014Q1,893,0,1,0,2,0
2014,2014Q1,898,4,1,0,2,0
2014,2014Q1,899,1,1,0,2,0
2014,2014Q1,903,0,0,0,3,0
2014,2014Q1,905,0,1,2,2,0
2014,2014Q1,907,0,1,0,2,0
2014,2014Q1,908,0,1,0,1,0
2014,2014Q1,911,0,0,0,1,0
2014,2014Q1,915,0,1,0,2,0
2014,2014Q1,917,0,2,0,3,0
2014,2014Q1,919,0,1,0,1,0
2014,2014Q1,921,0,1,0,0,0
2014,2014Q1,923,0,1,0,1,0
2014,2014Q1,926,0,0,0,3,0
2014,2014Q1,929,0,0,0,2,0
2014,2014Q1,930,2,1,0,1,0
2014,2014Q1,935,0,0,0,0,0
2014,2014Q1,936,0,1,0,4,0
2014,2014Q1,937,0,1,0,2,0
2014,2014Q1,938,0,1,0,2,0
2014,2014Q1,940,0,2,0,1,0
2014,2014Q1,941,0,1,0,0,0
2014,2014Q1,944,0,4,0,2,0
2014,2014Q1,945,0,1,0,1,0
2014,2014Q1,947,0,3,1,3,0
2014,2014Q1,962,0,1,0,2,0
2014,2014Q1,963,2,0,0,1,0
2014,2014Q1,964,0,1,0,4,0
2014,2014Q1,970,0,0,0,2,0
2014,2014Q1,979,0,1,0,2,0
2014,2014Q1,980,0,2,0,3,0
2014,2014Q1,981,0,0,0,1,0
2014,2014Q1,983,0,3,1,2,0
2014,2014Q1,984,0,1,0,1,0
2014,2014Q1,989,0,1,0,3,0
2014,2014Q1,991,0,3,0,3,0
2014,2014Q1,993,0,0,0,1,0
2014,2014Q1,995,0,0,0,2,0
2014,2014Q1,998,0,1,0,2,0
2014,2014Q1,999,0,0,0,3,0
2014,2014Q1,1004,0,0,0,3,0
2014,2014Q1,1005,0,0,0,0,0
2014,2014Q1,1008,0,2,0,1,0
2014,2014Q1,1010,0,1,0,2,0
2014,2014Q1,1011,0,3,0,3,0
2014,2014Q1,1014,0,3,0,2,0
2014,2014Q1,1021,0,1,0,3,0
2014,2014Q1,1023,10,1,0,2,0
2014,2014Q1,1025,0,1,0,1,0
2014,2014Q1,1026,0,0,0,3,0
2014,2014Q1,1027,0,0,0,3,0
2014,2014Q1,1029,0,2,0,3,0
2014,2014Q1,1030,0,1,0,1,0
2014,2014Q1,1032,0,0,0,0,0
2014,2014Q1,1034,0,1,0,2,0
2014,2014Q1,1039,6,1,0,3,0
2014,2014Q1,1040,0,1,0,1,0
2014,2014Q1,1047,1,1,0,2,0
2014,2014Q1,1049,1,5,0,1,0
2014,2014Q1,1050,2,1,0,3,0
2014,2014Q1,1055,0,1,0,4,0
2014,2014Q1,1056,0,1,0,2,0
2014,2014Q1,1063,0,1,0,3,0
2014,2014Q1,1066,2,0,0,3,0
2014,2014Q1,1068,0,0,0,2,0
2014,2014Q1,1069,0,0,0,6,0
2014,2014Q1,1070,0,0,0,2,0
2014,2014Q1,1071,0,0,0,4,0
2014,2014Q1,1072,5,1,0,2,0
2014,2014Q1,1075,0,1,0,4,0
2014,2014Q1,1080,0,1,0,2,0
2014,2014Q1,1081,1,0,0,1,0
2014,2014Q1,1083,0,1,0,3,0
2014,2014Q1,1086,0,1,0,1,0
2014,2014Q1,1088,0,0,2,2,0
2014,2014Q1,1090,0,0,0,0,0
2014,2014Q1,1092,0,2,0,1,0
2014,2014Q1,1093,0,0,0,2,0
2014,2014Q1,1095,0,1,0,3,0
2014,2014Q1,1099,5,0,0,2,0
2014,2014Q1,1102,0,7,1,1,0
2014,2014Q1,1105,0,4,0,3,0
2014,2014Q1,1109,0,0,1,3,0
2014,2014Q1,1111,0,0,0,1,0
2014,2014Q1,1112,0,1,0,2,0
2014,2014Q1,1115,0,2,0,4,0
2014,2014Q1,1117,0,2,1,2,0
2014,2014Q1,1118,0,1,0,4,0
2014,2014Q1,1119,0,2,0,6,0
2014,2014Q1,1121,0,1,0,3,0
2014,2014Q1,1122,0,1,2,2,0
2014,2014Q1,1126,3,4,0,1,0
2014,2014Q1,1136,0,2,1,2,0
2014,2014Q1,1140,0,0,0,5,0
2014,2014Q1,1141,0,0,0,2,0
2014,2014Q1,1142,0,3,0,1,0
2014,2014Q1,1144,0,0,0,4,0
2014,2014Q1,1145,0,0,0,3,0
2014,2014Q1,1147,0,0,0,2,0
2014,2014Q1,1149,0,1,0,2,0
2014,2014Q1,1151,0,1,0,2,0
2014,2014Q1,1156,0,0,1,4,0
2014,2014Q1,1157,0,2,0,3,0
2014,2014Q1,1161,5,0,0,4,0
2014,2014Q1,1162,0,1,0,4,0
2014,2014Q1,1164,4,0,0,1,0
2014,2014Q1,1165,0,0,0,2,0
2014,2014Q1,1167,0,1,0,2,0
2014,2014Q1,1169,0,1,0,2,0
2014,2014Q1,1170,0,1,0,2,0
2014,2014Q1,1172,1,2,1,3,0
2014,2014Q1,1179,0,1,0,0,0
2014,2014Q1,1182,0,2,0,3,0
2014,2014Q1,1184,0,0,0,2,0
2014,2014Q1,1185,1,1,1,1,0
2014,2014Q1,1192,0,0,0,3,0
2014,2014Q1,1196,0,2,0,1,0
2014,2014Q1,1198,0,1,0,5,0
2014,2014Q1,1203,0,0,0,5,0
2014,2014Q1,1204,1,0,0,1,0
2014,2014Q1,1210,0,2,0,3,0
2014,2014Q1,1216,0,2,0,3,0
2014,2014Q1,1219,0,0,0,0,0
2014,2014Q1,1224,2,1,0,2,0
2014,2014Q1,1229,8,0,0,2,0
2014,2014Q1,1230,0,2,0,1,0
2014,2014Q1,1231,0,1,0,2,0
2014,2014Q1,1232,1,0,0,3,0
2014,2014Q1,1235,4,0,0,1,0
2014,2014Q1,1244,0,1,0,3,0
2014,2014Q1,1245,0,1,0,3,0
2014,2014Q1,1248,4,1,0,1,0
2014,2014Q1,1250,0,0,0,2,0
2014,2014Q1,1251,1,3,0,2,0
2014,2014Q1,1254,0,3,0,4,0
2014,2014Q1,1259,0,1,0,2,0
2014,2014Q1,1261,1,1,0,2,0
2014,2014Q1,1262,0,0,0,1,0
2014,2014Q1,1268,5,0,0,3,0
2014,2014Q1,1269,0,1,0,1,0
2014,2014Q1,1273,0,1,0,3,0
2014,2014Q1,1275,0,1,0,3,0
2014,2014Q1,1277,0,0,0,5,0
2014,2014Q1,1286,0,3,0,0,0
2014,2014Q1,1290,8,2,0,2,0
2014,2014Q1,1291,0,0,0,2,0
2014,2014Q1,1292,0,4,0,3,0
2014,2014Q1,1294,0,3,0,1,0
2014,2014Q1,1298,1,1,0,3,0
2014,2014Q1,1301,0,0,0,2,0
2014,2014Q1,1303,0,0,0,2,0
2014,2014Q1,1305,0,1,0,1,0
2014,2014Q1,1306,0,1,0,1,0
2014,2014Q1,1308,0,1,0,4,0
2014,2014Q1,1311,0,1,0,3,0
2014,2014Q1,1317,0,1,0,1,0
2014,2014Q1,1318,0,1,0,3,0
2014,2014Q1,1319,0,1,0,1,0
2014,2014Q1,1320,0,1,0,2,0
2014,2014Q1,1323,0,0,0,1,0
2014,2014Q1,1325,0,1,0,2,0
2014,2014Q1,1326,0,2,0,3,0
2014,2014Q1,1328,0,1,2,3,0
2014,2014Q1,1331,2,1,0,3,0
2014,2014Q1,1332,0,1,0,4,0
2014,2014Q1,1334,0,1,1,1,0
2014,2014Q1,1337,0,0,0,2,0
2014,2014Q1,1344,0,0,0,2,0
2014,2014Q1,1349,0,1,0,1,0
2014,2014Q1,1350,0,1,0,3,0
2014,2014Q1,1353,5,2,0,3,0
2014,2014Q1,1357,0,1,0,5,0
2014,2014Q1,1359,0,0,2,1,0
2014,2014Q1,1369,0,1,0,3,0
2014,2014Q1,1371,0,2,0,4,0
2014,2014Q1,1381,0,2,0,2,0
2014,2014Q1,1383,0,5,1,3,0
2014,2014Q1,1387,0,1,0,1,0
2014,2014Q1,1389,0,1,0,2,0
2014,2014Q1,1401,1,3,0,2,0
2014,2014Q1,1402,1,1,0,2,0
2014,2014Q1,1403,0,1,0,1,0
2014,2014Q1,1408,0,8,0,2,0
2014,2014Q1,1409,0,0,0,1,0
2014,2014Q1,1414,3,4,0,1,0
2014,2014Q1,1417,1,0,0,2,0
2014,2014Q1,1421,1,1,0,2,0
2014,2014Q1,1422,0,1,0,2,0
2014,2014Q1,1425,0,1,0,1,0
2014,2014Q1,1428,0,0,0,3,0
2014,2014Q1,1431,2,3,0,2,0
2014,2014Q1,1432,2,1,0,3,0
2014,2014Q1,1433,0,3,0,1,0
2014,2014Q1,1435,0,2,0,5,0
2014,2014Q1,1437,0,0,0,1,0
2014,2014Q1,1441,0,0,0,2,0
2014,2014Q1,1442,1,0,0,3,0
2014,2014Q1,1443,0,0,0,2,0
2014,2014Q1,1445,3,2,0,2,0
2014,2014Q1,1446,0,0,0,3,0
2014,2014Q1,1451,0,1,0,6,0
2014,2014Q1,1452,2,0,0,1,0
2014,2014Q1,1455,1,2,0,1,0
2014,2014Q1,1459,0,0,0,3,0
2014,2014Q1,1460,0,1,0,2,0
2014,2014Q1,1462,0,1,0,3,0
2014,2014Q1,1464,0,2,0,2,0
2014,2014Q1,1466,0,1,0,1,0
2014,2014Q1,1470,0,1,0,2,0
2014,2014Q1,1474,0,2,0,2,0
2014,2014Q1,1476,0,1,0,3,0
2014,2014Q1,1479,0,2,0,2,0
2014,2014Q1,1482,2,0,0,0,0
2014,2014Q1,1483,1,1,0,2,0
2014,2014Q1,1487,0,1,0,2,0
2014,2014Q1,1489,0,2,0,3,0
2014,2014Q1,1493,0,6,0,2,0
2014,2014Q1,1499,0,1,0,3,0
2014,2014Q1,1502,1,3,0,2,0
2014,2014Q1,1503,0,1,0,3,0
2014,2014Q1,1504,0,2,0,3,0
2014,2014Q1,1506,0,1,0,4,0
2014,2014Q1,1508,0,2,0,1,0
2014,2014Q1,1512,0,0,0,1,0
2014,2014Q1,1513,5,0,0,2,0
2014,2014Q1,1517,0,0,0,2,0
2014,2014Q1,1519,0,0,0,2,0
2014,2014Q1,1522,0,3,0,1,0
2014,2014Q1,1528,0,1,0,3,0
2014,2014Q1,1529,7,0,0,1,0
2014,2014Q1,1533,0,1,0,2,0
2014,2014Q1,1534,1,1,0,1,0
2014,2014Q1,1540,0,1,0,5,0
2014,2014Q1,1542,1,7,0,2,0
2014,2014Q1,1543,1,1,0,4,0
2014,2014Q1,1544,0,1,0,1,0
2014,2014Q1,1548,0,3,0,3,0
2014,2014Q1,1559,1,3,0,1,0
2014,2014Q1,1560,0,0,0,3,0
2014,2014Q1,1564,1,0,0,3,0
2014,2014Q1,1565,0,1,0,2,0
2014,2014Q1,1569,0,1,0,2,0
2014,2014Q1,1572,0,0,0,2,0
2014,2014Q1,1574,0,1,1,2,0
2014,2014Q1,1577,0,1,0,1,0
2014,2014Q1,1579,0,1,0,1,0
2014,2014Q1,1580,0,0,0,5,0
2014,2014Q1,1583,0,1,0,1,0
2014,2014Q1,1584,0,2,0,2,0
2014,2014Q1,1586,0,1,0,2,0
2014,2014Q1,1594,0,2,0,2,0
2014,2014Q1,1596,0,1,0,3,0
2014,2014Q1,1603,0,1,0,2,0
2014,2014Q1,1605,1,6,0,3,0
2014,2014Q1,1607,0,0,0,0,0
2014,2014Q1,1608,0,0,0,1,0
2014,2014Q1,1611,0,1,0,2,0
2014,2014Q1,1613,0,1,0,1,0
2014,2014Q1,1616,0,1,2,1,0
2014,2014Q1,1626,0,2,0,1,0
2014,2014Q1,1627,1,0,0,1,0
2014,2014Q1,1628,0,1,0,2,0
2014,2014Q1,1629,0,1,0,1,0
2014,2014Q1,1630,5,0,0,1,0
2014,2014Q1,1637,0,1,0,2,0
2014,2014Q1,1638,0,0,0,3,0
2014,2014Q1,1643,0,0,0,4,0
2014,2014Q1,1649,0,1,0,6,0
2014,2014Q1,1655,0,1,1,1,0
2014,2014Q1,1660,1,0,0,2,0
2014,2014Q1,1662,9,5,0,1,0
2014,2014Q1,1663,0,2,0,3,0
2014,2014Q1,1665,0,1,0,2,0
2014,2014Q1,1666,0,0,0,2,0
2014,2014Q1,1668,0,0,0,1,0
2014,2014Q1,1669,0,1,0,2,0
2014,2014Q1,1670,2,3,0,1,0
2014,2014Q1,1673,0,2,0,1,0
2014,2014Q1,1674,0,3,0,2,0
2014,2014Q1,1675,0,1,0,2,0
2014,2014Q1,1676,0,5,0,4,0
2014,2014Q1,1685,0,1,0,1,0
2014,2014Q1,1686,3,2,0,1,0
2014,2014Q1,1688,0,1,0,2,0
2014,2014Q1,1689,0,2,0,2,0
2014,2014Q1,1691,0,1,0,3,0
2014,2014Q1,1692,0,5,0,2,0
